patients_per_clinic_block,num_med_techs,num_rooms,num_rooms_per_provider,num_physicians,vitals_time_mean,vitals_time_cv2,exam_time_mean,exam_time_cv2,post_exam_time_mean,post_exam_time_cv2,room_turnover_time_mean,room_turnover_time_cv2,off_util_staff,off_util_physician,off_util_room,staff_eff_ia_time_mean,staff_eff_svc_time_mean,staff_eff_svc_time_cv2,exam_eff_ia_time_mean,exam_eff_svc_time_mean,exam_eff_svc_time_cv2,mean_wait_i_dm1,mean_wait_p_dm1,mean_wait_r_dm1,mean_wait_rp_dm1,mean_wait_i,mean_wait_r,mean_wait_p,mean_wait_rp,mean_time_in_system,mean_eod
32,2,2,1,2,6,0.2,10,1.0,2,0.5,2.5,0.14285714285714285,0.7,0.6666666666666666,0.9666666666666667,15.0,10.5,0.41889262235208136,15.0,27.054334035310156,1.1868704738791398,6.875955275509632,5.678378759800523,17.595076785995065,23.27345554579559,0.3590198370662702,7.854512510984079,0.0,7.854512510984079,27.34116599768516,266.70979138073324
36,2,2,1,2,6,0.2,10,1.0,2,0.5,2.5,0.14285714285714285,0.7875,0.75,1.0875,13.333333333333334,10.5,0.41889262235208136,13.333333333333334,32.75979211864427,1.0612441974393616,9.993754171470908,8.266037947173363,44.3876132264223,52.65365117359566,0.4396700518433198,12.989750762455882,0.0,12.989750762455882,32.266547538059285,273.9553040526512
40,2,2,1,2,6,0.2,10,1.0,2,0.5,2.5,0.14285714285714285,0.875,0.8333333333333334,1.2083333333333333,12.0,10.5,0.41889262235208136,12.0,40.14697726287635,1.0614390872400108,14.01563425281853,11.631343010057819,92.35304462641056,103.98438763646838,0.544374250648205,28.7160981405731,0.0,28.7160981405731,48.78208137296452,305.9458928908608
44,2,2,1,2,6,0.2,10,1.0,2,0.5,2.5,0.14285714285714285,0.9625,0.9166666666666666,1.3291666666666666,10.909090909090908,10.5,0.41889262235208136,10.909090909090908,49.39909439897092,1.092649632226619,19.02329069628033,15.875803702690591,162.63701552155646,178.51281922424707,0.6215737606963918,35.20292094775255,0.0,35.20292094775255,54.54148671563223,316.8530649484279
48,2,2,1,2,6,0.2,10,1.0,2,0.5,2.5,0.14285714285714285,1.05,1.0,1.45,10.0,10.5,0.41889262235208136,10.0,60.573849131490405,1.1084085307883527,25.02718580672568,21.046663324764726,255.9712288237714,277.01789214853613,0.9590300153058068,52.190035183390975,0.0,52.190035183390975,72.57551307167083,356.2833009950773
24,2,2,1,2,6,0.2,15,1.0,2,0.5,2.5,0.14285714285714285,0.525,0.75,0.975,20.0,10.5,0.41889262235208136,20.0,33.18788986392049,2.3167470945256956,2.8133542945246446,10.874535569395848,15.432637422493324,26.30717299188917,0.2093662157236939,8.330785050756957,0.0,8.330785050756957,31.77089861264892,265.9254044642547
28,2,2,1,2,6,0.2,15,1.0,2,0.5,2.5,0.14285714285714285,0.6125,0.875,1.1375,17.142857142857142,10.5,0.41889262235208136,17.142857142857142,41.024573133368364,2.5498759391467725,4.531423003197473,16.99315013017089,44.11023624518019,61.10338637535108,0.2243580751281791,17.053188106079833,0.0,17.053188106079833,40.58488472219886,290.54609440273407
32,2,2,1,2,6,0.2,15,1.0,2,0.5,2.5,0.14285714285714285,0.7,1.0,1.3,15.0,10.5,0.41889262235208136,15.0,51.23938555995152,2.969383921865637,6.875955275509632,24.86343028444189,99.03839046100988,123.90182074545177,0.2950524284454574,29.327057423198784,0.0,29.327057423198784,53.15686799869254,320.32610079345784
36,2,2,1,2,6,0.2,15,1.0,2,0.5,2.5,0.14285714285714285,0.7875,1.125,1.4625,13.333333333333334,10.5,0.41889262235208136,13.333333333333334,63.912106431158634,3.4976842441991396,9.993754171470908,34.41835225968773,181.368138232063,215.78649049175073,0.3153562569414896,48.69735825405996,0.0,48.69735825405996,72.63413704373598,348.4292107138816
40,2,2,1,2,6,0.2,15,1.0,2,0.5,2.5,0.14285714285714285,0.875,1.25,1.625,12.0,10.5,0.41889262235208136,12.0,78.95226562613918,3.8514787817465925,14.01563425281853,45.43663137332065,291.0310574915293,336.46768886484995,0.3844402048106662,63.05585958421954,0.0,63.05585958421954,87.03661490012887,385.71604512430434
16,2,2,1,2,6,0.2,20,1.0,2,0.5,2.5,0.14285714285714285,0.35,0.6666666666666666,0.8166666666666667,30.0,10.5,0.41889262235208136,30.0,34.721246386492524,2.212600636564047,0.7583814319323642,9.462864954560157,5.727899992483473,15.190764947043629,0.1072663121001552,5.0618397611925765,0.0,5.0618397611925765,32.883539530309235,253.54591771713928
20,2,2,1,2,6,0.2,20,1.0,2,0.5,2.5,0.14285714285714285,0.4375,0.8333333333333334,1.0208333333333333,24.0,10.5,0.41889262235208136,24.0,43.40196146294796,2.8040127157640087,1.589167668755346,17.31279379419262,22.353780278469287,39.6665740726619,0.1156783237217808,12.119391325996284,0.0,12.119391325996284,40.3546755410285,280.97349691366736
24,2,2,1,2,6,0.2,20,1.0,2,0.5,2.5,0.14285714285714285,0.525,1.0,1.225,20.0,10.5,0.41889262235208136,20.0,55.25698083049099,3.582828183204276,2.8133542945246446,27.94362653596635,65.50160757101942,93.44523410698577,0.1570974521830502,21.841365036435533,0.0,21.841365036435533,49.44425903132024,300.7675739566906
28,2,2,1,2,6,0.2,20,1.0,2,0.5,2.5,0.14285714285714285,0.6125,1.1666666666666667,1.4291666666666667,17.142857142857142,10.5,0.41889262235208136,17.142857142857142,70.2172306645011,4.818705386090503,4.531423003197473,41.185807661303635,141.9269881572257,183.11279581852935,0.2076276314367333,42.72221494801689,0.0,42.72221494801689,71.59965210447848,357.0645007951905
32,2,2,1,2,6,0.2,20,1.0,2,0.5,2.5,0.14285714285714285,0.7,1.3333333333333333,1.6333333333333333,15.0,10.5,0.41889262235208136,15.0,87.95689265225548,6.450145325082526,6.875955275509632,56.58093737674586,249.99905866697458,306.5799960437204,0.2167117753040652,63.88479221990914,0.0,63.88479221990914,92.46113405168391,391.97209017211264
32,2,2,1,2,9,0.2,10,1.0,2,0.5,2.5,0.14285714285714285,0.9,0.6666666666666666,0.9666666666666667,15.0,13.5,0.4667362946679891,15.0,37.6511355351061,0.9644430294750653,17.472756775305577,5.678378759800523,48.40101235900632,54.079391118806846,0.7287341806578462,11.077150204679455,0.0,11.077150204679455,34.495280530209854,274.25274509353005
36,2,2,1,2,9,0.2,10,1.0,2,0.5,2.5,0.14285714285714285,1.0125,0.75,1.0875,13.333333333333334,13.5,0.4667362946679891,13.333333333333334,47.45675898305457,0.9738235730122102,24.69072103588121,8.266037947173363,106.12659946331118,114.39263741048454,1.4779534633501146,24.167804084128896,0.0,24.167804084128896,49.09153151930101,299.9803206458517
40,2,2,1,2,9,0.2,10,1.0,2,0.5,2.5,0.14285714285714285,1.125,0.8333333333333334,1.2083333333333333,12.0,13.5,0.4667362946679891,12.0,59.4609944563863,0.955031959418701,33.329651446328484,11.631343010057819,190.00135721332768,201.63270022338548,2.668400766387574,43.85290094715277,0.0,43.85290094715277,70.5737630376739,335.40455205085874
